,Ensembl transcript ID,SL with MS evidence
1008,ENST00000306434,c
1009,ENST00000617470,m
1010,ENST00000450579,c
1011,ENST00000551020,m
1012,ENST00000583509,m
1013,ENST00000357430,c
1014,ENST00000585215,c
1015,ENST00000585215,c
1016,ENST00000229270,c
1017,ENST00000229277,c
1018,ENST00000397500,c
1019,ENST00000302746,m
1020,ENST00000302746,c
1021,ENST00000309522,m
1022,ENST00000251810,c
1023,ENST00000507089,c
1024,ENST00000547587,c
1025,ENST00000381075,c
1026,ENST00000565355,c
1027,ENST00000565355,m
1028,ENST00000619546,c
1029,ENST00000396861,c
1030,ENST00000396861,c
1031,ENST00000545675,c
1032,ENST00000324301,c
1033,ENST00000324301,c
1034,ENST00000324301,c
1035,ENST00000409601,m
1036,ENST00000409601,m
1037,ENST00000376285,m
1038,ENST00000376286,m
1039,ENST00000367055,m
1040,ENST00000395334,c
1041,ENST00000333167,m
1042,ENST00000637657,c
1043,ENST00000393051,c
1044,ENST00000581807,c
1045,ENST00000321341,m
1046,ENST00000321341,m
1047,ENST00000321341,c
1048,ENST00000321341,c
1049,ENST00000321341,m
1050,ENST00000321341,c
1051,ENST00000457011,c
1052,ENST00000457011,c
1053,ENST00000371083,c
1054,ENST00000371084,c
1055,ENST00000398165,c
1056,ENST00000398165,c
1057,ENST00000568459,c
1058,ENST00000404802,m
1059,ENST00000398168,c
1060,ENST00000398168,c
1061,ENST00000621846,c
1062,ENST00000621846,c
1063,ENST00000621846,c
1064,ENST00000608083,c
1065,ENST00000404739,c
1066,ENST00000352178,c
1067,ENST00000352178,c
1068,ENST00000378614,c
1069,ENST00000328923,m
1070,ENST00000435900,c
1071,ENST00000435900,m
1072,ENST00000562238,c
1073,ENST00000295920,c
1074,ENST00000295920,c
1075,ENST00000295920,c
1076,ENST00000557427,c
1077,ENST00000298649,c
1078,ENST00000557529,c
1079,ENST00000428106,c
1080,ENST00000409017,c
1081,ENST00000419067,c
1082,ENST00000409174,c
1083,ENST00000436370,n
1084,ENST00000359570,c
1085,ENST00000558196,c
1086,ENST00000558196,c
1087,ENST00000558196,c
1088,ENST00000518175,c
1089,ENST00000396512,m
1090,ENST00000396512,m
1091,ENST00000396512,m
1092,ENST00000548567,c
1093,ENST00000548567,m
